17																		
#n palm	palmol stear olein linol arah	linole eikos	NA	Ca	SA	Si	IS	CS	EL	WL Um								

41.3	22.6	33.2	72.2	21.9	47.2	56.3	48.2	1	0	0	0	0	0	0	0	0	NA	1
62.7	46.8	35	47.3	37.6	55.6	56.3	53.6	0	1	0	0	0	0	0	0	0	Ca	1
75	63.4	19.7	35.9	55.4	34.7	42.7	30.4	0	0	1	0	0	0	0	0	0	SA	1
54.4	44.5	33.6	53.3	36.8	47.2	65	58.9	0	0	0	1	0	0	0	0	0	Si	1
46.1	39.6	31.4	46.1	65	56.9	93.2	0	0	0	0	0	1	0	0	0	0	IS	1
46.7	31.3	44.4	38.9	84.7	25	57.3	0	0	0	0	0	0	1	0	0	0	CS	1
60.4	17	48.4	59.2	21.7	94.4	95.1	0	0	0	0	0	0	0	1	0	0	EL	1
51.6	50.9	61.9	49.3	56	0	7.8	0	0	0	0	0	0	0	0	1	0	WL	1
42.2	20.8	12.6	78.4	15.4	25	46.6	0	0	0	0	0	0	0	0	0	1	Um	1
42.5	21.9	32.3	66.8	32.6	40.3	57.3	48.2	1	0	0	0	0	0	0	0	0	NA	2
26.8	14.7	42.2	85.9	9.9	40.3	59.2	48.2	1	0	0	0	0	0	0	0	0	NA	3
31.6	15.8	39.5	78.3	16.7	66.7	73.8	58.9	1	0	0	0	0	0	0	0	0	NA	4
39.2	19.6	48	69.7	21.9	66.7	75.7	78.6	1	0	0	0	0	0	0	0	0	NA	5
26.8	12.8	52	77	22.5	68.1	66	75	1	0	0	0	0	0	0	0	0	NA	6
27.7	19.2	50.2	80.1	16.6	65.3	52.4	48.2	1	0	0	0	0	0	0	0	0	NA	7
43.6	17.4	37.2	67.7	28	51.4	60.2	58.9	1	0	0	0	0	0	0	0	0	NA	8
42	17	39	68.5	25.5	61.1	78.6	55.4	1	0	0	0	0	0	0	0	0	NA	9
38	15.1	27.4	77.9	18.1	33.3	48.5	50	1	0	0	0	0	0	0	0	0	NA	10
39.2	7.5	30	79.5	15.4	26.4	61.2	39.3	1	0	0	0	0	0	0	0	0	NA	11
37.9	16.6	37.2	74.3	20.8	38.9	58.3	75	1	0	0	0	0	0	0	0	0	NA	12
41.2	20.8	27.8	67.7	29.3	66.7	74.8	55.4	1	0	0	0	0	0	0	0	0	NA	13
23.6	14	40.8	81.4	20.3	54.2	74.8	53.6	1	0	0	0	0	0	0	0	0	NA	14
30.4	12.8	45.7	70.9	32.5	66.7	70.9	69.6	1	0	0	0	0	0	0	0	0	NA	15
48.4	31.3	22	61.9	36	41.7	56.3	48.2	1	0	0	0	0	0	0	0	0	NA	16
29.6	29.8	13.9	73	33.3	55.6	70.9	51.8	1	0	0	0	0	0	0	0	0	NA	17
59.4	20.4	23.8	49.5	49.8	59.7	66	46.4	1	0	0	0	0	0	0	0	0	NA	18
31.2	20.8	19.3	78.6	28.8	61.1	70.9	50	1	0	0	0	0	0	0	0	0	NA	19
30.4	23.4	47.5	72	28.2	56.9	73.8	55.4	1	0	0	0	0	0	0	0	0	NA	20
41.2	19.6	37.7	66	26.2	75	78.6	76.8	1	0	0	0	0	0	0	0	0	NA	21
34.2	11.7	61	71.4	22.6	75	81.6	67.9	1	0	0	0	0	0	0	0	0	NA	22
39.6	14.3	42.6	66.5	24.7	72.2	84.5	87.5	1	0	0	0	0	0	0	0	0	NA	23
40.4	9.1	36.8	74.7	25	55.6	69.9	42.9	1	0	0	0	0	0	0	0	0	NA	24
40.4	11.3	41.7	70.1	24.3	62.5	77.7	64.3	1	0	0	0	0	0	0	0	0	NA	25
63.2	45.7	29.1	41.4	49.1	56.9	59.2	50	0	1	0	0	0	0	0	0	0	Ca	2
66.6	37.7	42.2	44.3	41.7	59.7	59.2	28.6	0	1	0	0	0	0	0	0	0	Ca	3
